"It draws insights from our deep domain and operations expertise in our target industries and service
lines to create analytics-based solutions that are focused on improving customer and user experience to accelerate clients’ digital
transformations.",C-Sat
"•
our ability to meet our corporate funding needs, pay dividends and service debt, including our ability to comply with the restrictions
that apply to our indebtedness that may limit our business activities and investment opportunities;",Capital
"Our ERP planning has required, and the ongoing planning and future implementation of the new ERP will continue to require,
investment of significant capital and human resources, requiring the attention of members of our management team.",Capital
"Any deficiencies in the
design, or delays or issues encountered in the implementation, of the new ERP could result in significantly greater capital expenditures and
employee time and attention than currently contemplated, and could adversely affect our ability to operate our business, file timely reports
with the SEC or otherwise affect the proper and efficient operation of our controls.",Capital
"Our working capital needs are primarily to finance our payroll and other administrative and information technology
expenses in advance of the receipt of accounts receivable.",Capital
"Our primary capital requirements include opening new delivery centers, expanding
existing operations to support our growth, financing acquisitions and enhancing capabilities, including building certain digital solutions.",Capital
Cash flows from operating activities.,Cash
"•
Our profitability will suffer if we are not able to price appropriately, maintain employee and asset utilization levels and control our costs.",Cost
levels and control our costs.,Cost
Our profitability is also a function of our ability to control our costs and improve our efficiency.,Cost
"As a result, we may be
unable to cost-effectively hire and retain employees with these market-leading skills, which may cause us to continue to incur increased costs
or be unable to fulfill client demand for our services and solutions.",Cost
We intend to continue to expand our global footprint in order to maintain an appropriate cost structure and meet our clients’ delivery,Cost
"•
our rate of employee attrition;",E-Sat
"Additionally, we continued to focus on
the learning and development of our employees to provide them with the critical skills needed for the future and to build their careers.",E-Sat
our people are critical to the success of our business.,E-Sat
"In 2022, we promoted more than 14,000 of our employees and encouraged employee career growth
through our Destination Growth program.",E-Sat
"We also regularly monitor employee retention levels and continue to enhance our pay-for-
performance approach in an effort to retain our top talent.",E-Sat
Employee development and engagement,E-Sat
"We are committed to the career development of our employees and making them future-ready, and we strive to engage them with",E-Sat
We have also developed a learning framework called Genome that enables our employees to acquire new skills and evolve quickly as,E-Sat
It improves our employee utilization globally by providing the right talent at the right time for our client engagements.,E-Sat
"TalentMatch also gives our employees the opportunity to take their careers in their desired directions, thus increasing employee satisfaction,
and bolstering our ability to scale the “work from anywhere” model.",E-Sat
"Amber, our engagement AI chatbot and employee experience platform, enables transformation of our employee engagement strategy.",E-Sat
"By digitizing how we engage with our employees through Amber, we have increased the scope and frequency of employee feedback and",E-Sat
have gained the ability to assess employee engagement and identify trends in employee engagement and satisfaction across the company.,E-Sat
"In 2022, we also invested in technologies and programs designed to create a better employee experience, with a particular focus on",E-Sat
employee well being.,E-Sat
"In 2022, our attrition rate for all employees who were employed for a day or more was
35%, an increase from our normalized historical attrition rate in the",E-Sat
